ID,Durat   ,protocol,service,SrcIP,sourcemac,SrcPort,DstIP,destinationmac,DstPort,tos,Bytes  ,Packets ,count,dsthstsrvcount,Labels
1,0.591,UDP,,82.18.250.37,00:00:00:00:00:01,51841,147.32.84.229,,13363,,804,4,,,Background
2,3.195,TCP,,81.83.115.150,00:00:00:00:00:01,2751,147.32.84.229,,13363,,220,4,,,Background
3,0.191,TCP,,199.47.217.149,00:00:00:00:00:01,80,147.32.86.151,,1029,,532,3,,,Background
4,1.479,TCP,,85.70.43.8,00:00:00:00:00:01,1026,147.32.84.229,,13363,,220,4,,,Background
5,6.042,UDP,,82.99.161.58,00:00:00:00:00:01,29078,147.32.84.185,,30123,,483,3,,,Background
6,45.109,TCP,,147.32.84.59,00:00:00:00:00:01,50602,195.113.232.90,,80,,264,4,,,Background
7,45.119,TCP,,147.32.84.59,00:00:00:00:00:01,50605,195.113.232.90,,80,,264,4,,,Background
8,45.013,TCP,,147.32.84.189,00:00:00:00:00:01,43484,195.113.232.80,,80,,264,4,,,Background
9,45.02,TCP,,147.32.84.189,00:00:00:00:00:01,50729,74.125.232.202,,443,,264,4,,,LEGITIMATE
10,45.028,TCP,,147.32.84.189,00:00:00:00:00:01,50730,74.125.232.202,,443,,264,4,,,LEGITIMATE
11,45.02,TCP,,147.32.84.189,00:00:00:00:00:01,55609,74.125.232.223,,443,,264,4,,,LEGITIMATE
12,45.028,TCP,,147.32.84.189,00:00:00:00:00:01,55610,74.125.232.223,,443,,264,4,,,LEGITIMATE
13,45.02,TCP,,147.32.84.189,00:00:00:00:00:01,55612,74.125.232.223,,443,,264,4,,,LEGITIMATE
14,45.02,TCP,,147.32.84.189,00:00:00:00:00:01,55613,74.125.232.223,,443,,264,4,,,LEGITIMATE
15,45.02,TCP,,147.32.84.189,00:00:00:00:00:01,55614,74.125.232.223,,443,,264,4,,,LEGITIMATE
16,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,55225,209.85.148.147,,443,,264,4,,,LEGITIMATE
17,45.128,TCP,,147.32.84.189,00:00:00:00:00:01,55226,209.85.148.147,,443,,264,4,,,LEGITIMATE
18,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,55227,209.85.148.147,,443,,264,4,,,LEGITIMATE
19,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,55228,209.85.148.147,,443,,264,4,,,LEGITIMATE
20,45.128,TCP,,147.32.84.189,00:00:00:00:00:01,55230,209.85.148.147,,443,,264,4,,,LEGITIMATE
21,45.046,TCP,,147.32.84.189,00:00:00:00:00:01,50362,209.85.149.95,,443,,264,4,,,LEGITIMATE
22,45.047,TCP,,147.32.84.189,00:00:00:00:00:01,50363,209.85.149.95,,443,,264,4,,,LEGITIMATE
23,45.046,TCP,,147.32.84.189,00:00:00:00:00:01,50364,209.85.149.95,,443,,264,4,,,LEGITIMATE
24,45.046,TCP,,147.32.84.189,00:00:00:00:00:01,50365,209.85.149.95,,443,,264,4,,,LEGITIMATE
25,45.028,TCP,,147.32.84.189,00:00:00:00:00:01,45794,74.125.232.204,,443,,264,4,,,LEGITIMATE
26,45.028,TCP,,147.32.84.189,00:00:00:00:00:01,45795,74.125.232.204,,443,,264,4,,,LEGITIMATE
27,45.02,TCP,,147.32.84.189,00:00:00:00:00:01,45796,74.125.232.204,,443,,264,4,,,LEGITIMATE
28,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,45797,74.125.232.204,,443,,264,4,,,LEGITIMATE
29,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,45798,74.125.232.204,,443,,264,4,,,LEGITIMATE
30,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,47141,74.125.232.203,,443,,264,4,,,LEGITIMATE
31,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,47142,74.125.232.203,,443,,264,4,,,LEGITIMATE
32,45.028,TCP,,147.32.84.189,00:00:00:00:00:01,47404,74.125.232.207,,443,,264,4,,,LEGITIMATE
33,45.028,TCP,,147.32.84.189,00:00:00:00:00:01,47405,74.125.232.207,,443,,264,4,,,LEGITIMATE
34,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,47406,74.125.232.207,,443,,264,4,,,LEGITIMATE
35,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,47407,74.125.232.207,,443,,264,4,,,LEGITIMATE
36,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,47408,74.125.232.207,,443,,264,4,,,LEGITIMATE
37,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,47409,74.125.232.207,,443,,264,4,,,LEGITIMATE
38,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,47149,74.125.232.203,,443,,264,4,,,LEGITIMATE
39,45.028,TCP,,147.32.84.189,00:00:00:00:00:01,47150,74.125.232.203,,443,,264,4,,,LEGITIMATE
40,45.028,TCP,,147.32.84.189,00:00:00:00:00:01,36543,74.125.232.254,,443,,264,4,,,LEGITIMATE
41,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,36544,74.125.232.254,,443,,264,4,,,LEGITIMATE
42,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,36545,74.125.232.254,,443,,264,4,,,LEGITIMATE
43,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,36546,74.125.232.254,,443,,264,4,,,LEGITIMATE
44,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,36547,74.125.232.254,,443,,264,4,,,LEGITIMATE
45,45.046,TCP,,147.32.84.189,00:00:00:00:00:01,49642,209.85.149.191,,443,,264,4,,,LEGITIMATE
46,45.046,TCP,,147.32.84.189,00:00:00:00:00:01,49643,209.85.149.191,,443,,264,4,,,LEGITIMATE
47,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,42540,74.125.232.206,,443,,264,4,,,LEGITIMATE
48,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,42541,74.125.232.206,,443,,264,4,,,LEGITIMATE
49,0,ICMP,,147.32.84.164,00:00:00:00:00:01,7,147.32.96.69,,7,,78,1,,,LEGITIMATE
50,0.295,UDP,,84.123.7.52,00:00:00:00:00:01,12056,147.32.84.229,,13363,,240,2,,,Background
51,0,TCP,,86.46.81.36,00:00:00:00:00:01,62798,147.32.84.118,,6881,,120,2,,,Background
52,0.009,TCP,,147.32.84.170,00:00:00:00:00:01,43527,74.125.39.125,,5222,,132,2,,,LEGITIMATE
53,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
54,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
55,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
56,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
57,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
58,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
59,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
60,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
61,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
62,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
63,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
64,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
65,0,UDP,,147.32.84.59,00:00:00:00:00:01,19181,115.143.235.29,,20904,,145,1,,,Background
66,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
67,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
68,0,ICMP,,147.32.84.164,00:00:00:00:00:01,7,147.32.96.69,,7,,78,1,,,LEGITIMATE
69,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
70,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
71,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
72,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
73,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
74,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
75,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
76,0,UDP,,147.32.84.59,00:00:00:00:00:01,19181,89.132.198.65,,11914,,145,1,,,Background
77,0,UDP,,147.32.87.41,00:00:00:00:00:01,123,169.229.70.64,,123,,90,1,,,Background
78,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
79,37.109,UDP,,147.32.86.116,00:00:00:00:00:01,19083,132.239.93.243,,51512,,536,8,,,Background
80,6.025,UDP,,147.32.86.116,00:00:00:00:00:01,19083,121.72.248.84,,41309,,225,3,,,Background
81,0,UDP,,99.241.106.52,00:00:00:00:00:01,45997,147.32.86.116,,443,,128,2,,,Background
82,0,UDP,,109.191.83.193,00:00:00:00:00:01,37066,147.32.86.116,,443,,128,2,,,Background
83,44.666,UDP,,147.32.84.229,00:00:00:00:00:01,13363,201.43.77.199,,21370,,272,4,,,Background
84,0,UDP,,85.70.139.20,00:00:00:00:00:01,11281,147.32.84.229,,13363,,230,2,,,Background
85,0.814,UDP,,147.32.86.116,00:00:00:00:00:01,19083,219.85.242.131,,57618,,2996,4,,,Background
86,0.097,UDP,,147.32.84.229,00:00:00:00:00:01,13363,41.214.25.14,,63977,,565,2,,,Background
87,0,UDP,,180.216.92.82,00:00:00:00:00:01,39150,147.32.84.229,,13363,,544,2,,,Background
88,0,UDP,,93.103.28.14,00:00:00:00:00:01,27673,147.32.84.229,,13363,,315,2,,,Background
89,0,UDP,,147.32.86.20,00:00:00:00:00:01,64393,147.32.80.9,,53,,394,2,,,Background
90,0.118,TCP,,147.32.86.20,00:00:00:00:00:01,1871,87.98.230.229,,80,,22471,30,,,Background
91,6.141,TCP,,147.32.84.229,00:00:00:00:00:01,13363,90.203.121.78,,51676,,220,4,,,Background
92,0,UDP,,195.170.178.100,00:00:00:00:00:01,33391,147.32.84.229,,13363,,247,2,,,Background
93,50.131,UDP,,147.32.84.68,00:00:00:00:00:01,51454,85.231.137.150,,12308,,978,17,,,Background
94,14.342,TCP,,134.59.11.70,00:00:00:00:00:01,48864,147.32.84.229,,13363,,1021,9,,,Background
95,0,ICMP,,147.32.84.164,00:00:00:00:00:01,7,147.32.96.69,,7,,156,2,,,LEGITIMATE
96,0,UDP,,60.250.207.145,00:00:00:00:00:01,48759,147.32.84.229,,13363,,135,2,,,Background
97,0,UDP,,79.101.143.96,00:00:00:00:00:01,19328,147.32.84.229,,13363,,245,2,,,Background
98,0,UDP,,147.32.84.79,00:00:00:00:00:01,45139,147.32.80.9,,53,,331,2,,,Background
99,0,UDP,,77.67.32.161,00:00:00:00:00:01,25431,147.32.86.116,,19083,,146,2,,,Background
100,0.003,UDP,,147.32.100.32,00:00:00:00:00:01,48982,147.32.84.229,,13363,,3022,4,,,Background
101,0,UDP,,2.71.21.118,00:00:00:00:00:01,35435,147.32.86.116,,19083,,135,2,,,Background
102,0.005,UDP,,187.56.181.68,00:00:00:00:00:01,25834,147.32.86.116,,19083,,2985,4,,,Background
103,0,UDP,,80.8.80.231,00:00:00:00:00:01,46430,147.32.84.229,,13363,,132,2,,,Background
104,0.035,UDP,,147.32.85.24,00:00:00:00:00:01,34013,147.32.80.9,,53,,420,4,,,Background
105,0,UDP,,114.73.150.109,00:00:00:00:00:01,11418,147.32.86.116,,19083,,136,2,,,Background
106,13.982,TCP,,147.32.86.186,00:00:00:00:00:01,5485,74.125.232.204,,443,,3908,15,,,LEGITIMATE
107,0,UDP,,147.32.84.138,00:00:00:00:00:01,57444,147.32.80.9,,53,,214,2,,,Background
108,0,UDP,,147.32.84.138,00:00:00:00:00:01,36973,147.32.80.9,,53,,214,2,,,Background
109,0,UDP,,147.32.84.138,00:00:00:00:00:01,50208,147.32.80.9,,53,,214,2,,,Background
110,5.994,UDP,,147.32.84.229,00:00:00:00:00:01,13363,200.232.209.40,,27188,,219,3,,,Background
111,0,UDP,,76.19.127.116,00:00:00:00:00:01,55004,147.32.84.229,,13363,,528,2,,,Background
112,0,UDP,,147.32.84.138,00:00:00:00:00:01,40518,147.32.80.9,,53,,214,2,,,Background
113,19.828,UDP,,147.32.84.138,00:00:00:00:00:01,33783,147.32.80.9,,53,,428,4,,,Background
114,0,UDP,,147.32.84.138,00:00:00:00:00:01,51207,147.32.80.9,,53,,214,2,,,Background
115,0,UDP,,147.32.84.138,00:00:00:00:00:01,51989,147.32.80.9,,53,,214,2,,,Background
116,0,UDP,,149.5.45.7,00:00:00:00:00:01,43024,147.32.84.229,,13363,,272,2,,,Background
117,0,UDP,,147.32.84.138,00:00:00:00:00:01,58929,147.32.80.9,,53,,214,2,,,Background
118,0,UDP,,147.32.84.138,00:00:00:00:00:01,40351,147.32.80.9,,53,,214,2,,,Background
119,0,UDP,,147.32.84.138,00:00:00:00:00:01,56643,147.32.80.9,,53,,214,2,,,Background
120,0,UDP,,147.32.84.138,00:00:00:00:00:01,55356,147.32.80.9,,53,,214,2,,,Background
121,16.525,UDP,,147.32.84.229,00:00:00:00:00:01,13363,86.52.214.165,,44751,,1093,6,,,Background
122,0.001,UDP,,178.202.2.161,00:00:00:00:00:01,20777,147.32.86.116,,19083,,464,3,,,Background
123,0.192,TCP,,199.47.217.149,00:00:00:00:00:01,80,147.32.86.77,,39957,,594,3,,,Background
124,0,UDP,,147.32.85.8,00:00:00:00:00:01,58895,147.32.80.9,,53,,224,2,,,Background
125,0,UDP,,147.32.85.8,00:00:00:00:00:01,41423,147.32.80.9,,53,,234,2,,,Background
126,0.02,UDP,,147.32.85.8,00:00:00:00:00:01,59916,147.32.80.9,,53,,576,2,,,Background
127,0,UDP,,147.32.85.8,00:00:00:00:00:01,56665,147.32.80.9,,53,,566,2,,,Background
128,45.234,TCP,,147.32.85.8,00:00:00:00:00:01,58549,74.125.232.200,,443,,3841,16,,,LEGITIMATE
129,0.24,UDP,,82.132.242.56,00:00:00:00:00:01,25670,147.32.84.229,,13363,,1150,6,,,Background
130,0.026,TCP,,147.32.85.8,00:00:00:00:00:01,34212,74.125.232.198,,443,,3088,12,,,LEGITIMATE
131,0.003,UDP,,109.121.250.83,00:00:00:00:00:01,28478,147.32.84.229,,13363,,3023,4,,,Background
132,59.969,TCP,,147.32.84.59,00:00:00:00:00:01,50567,74.125.39.104,,443,,718,11,,,LEGITIMATE
133,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
134,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
135,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
136,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
137,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
138,0,ICMP,,147.32.84.164,00:00:00:00:00:01,7,147.32.96.69,,7,,78,1,,,LEGITIMATE
139,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
140,0,TCP,,147.32.87.248,00:00:00:00:00:01,36450,79.40.227.63,,24861,,74,1,,,Background
141,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
142,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
143,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
144,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
145,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
146,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
147,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
148,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
149,0,UDP,,147.32.84.59,00:00:00:00:00:01,19181,182.93.171.189,,11175,,145,1,,,Background
150,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
151,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
152,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
153,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
154,0,ICMP,,147.32.84.164,00:00:00:00:00:01,7,147.32.96.69,,7,,78,1,,,LEGITIMATE
155,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
156,0,TCP,,112.200.189.228,00:00:00:00:00:01,16152,147.32.84.59,,43087,,116,2,,,Background
157,55.043,TCP,,147.32.86.186,00:00:00:00:00:01,5445,209.85.149.189,,443,,7984,17,,,LEGITIMATE
158,0.001,UDP,,94.50.102.218,00:00:00:00:00:01,16481,147.32.86.116,,19083,,456,3,,,Background
159,59.997,TCP,,88.86.102.50,00:00:00:00:00:01,5223,147.32.84.118,,60573,,760,6,,,Background
160,0.009,TCP,,147.32.85.26,00:00:00:00:00:01,65478,74.125.232.219,,80,,162,3,,,LEGITIMATE
161,31.84,UDP,,147.32.86.116,00:00:00:00:00:01,19083,80.175.9.25,,46563,,998,7,,,Background
162,0,UDP,,210.161.16.231,00:00:00:00:00:01,8163,147.32.84.229,,13363,,135,2,,,Background
163,0,UDP,,149.13.32.75,00:00:00:00:00:01,33033,147.32.84.229,,13363,,243,2,,,Background
164,0,UDP,,119.236.69.125,00:00:00:00:00:01,45978,147.32.86.116,,19083,,136,2,,,Background
165,0.001,UDP,,95.42.39.0,00:00:00:00:00:01,56925,147.32.84.229,,13363,,128,2,,,Background
166,0.334,UDP,,147.32.84.229,00:00:00:00:00:01,13363,221.24.64.24,,1539,,249,2,,,Background
167,21.867,UDP,,147.32.84.229,00:00:00:00:00:01,13363,145.97.212.60,,7926,,518,4,,,Background
168,0.033,UDP,,147.32.84.229,00:00:00:00:00:01,13363,78.23.237.8,,62308,,242,2,,,Background
169,0.174,UDP,,147.32.84.229,00:00:00:00:00:01,13363,64.6.4.14,,56316,,132,2,,,Background
170,0.067,UDP,,147.32.84.229,00:00:00:00:00:01,13363,84.38.184.4,,49341,,136,2,,,Background
171,0.166,UDP,,130.89.51.130,00:00:00:00:00:01,12210,147.32.84.229,,13363,,274,2,,,Background
172,2.791,TCP,,211.101.37.85,00:00:00:00:00:01,44364,147.32.84.2,,21,,1290,14,,,Background
173,0,UDP,,74.88.251.19,00:00:00:00:00:01,3657,147.32.86.116,,443,,128,2,,,Background
174,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
175,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
176,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
177,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
178,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
179,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
180,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
181,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
182,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
183,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
184,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
185,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
186,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
187,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
188,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
189,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
190,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
191,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
192,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
193,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
194,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
195,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
196,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
197,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
198,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
199,0,ICMP,,147.32.84.191,00:00:00:00:00:01,7,147.32.96.69,,7,,1066,1,,,Botnet
200,34.025,TCP,,147.32.85.8,00:00:00:00:00:01,49326,69.171.242.13,,80,,396,6,,,Background
201,45.195,TCP,,147.32.85.8,00:00:00:00:00:01,49328,69.171.242.13,,80,,264,4,,,Background
202,45.203,TCP,,147.32.85.8,00:00:00:00:00:01,49329,69.171.242.13,,80,,264,4,,,Background
203,30.454,TCP,,147.32.85.8,00:00:00:00:00:01,43320,195.113.232.82,,80,,330,5,,,Background
204,30.582,TCP,,147.32.85.8,00:00:00:00:00:01,43321,195.113.232.82,,80,,330,5,,,Background
205,0,UDP,,82.38.97.41,00:00:00:00:00:01,47450,147.32.84.229,,13363,,158,2,,,Background
206,0,TCP,,212.96.177.3,00:00:00:00:00:01,4811,147.32.84.229,,13363,,54,1,,,Background
207,0.246,TCP,,147.32.86.116,00:00:00:00:00:01,19083,77.67.32.167,,48507,,214,3,,,Background
208,0.019,TCP,,147.32.86.111,00:00:00:00:00:01,5856,216.137.61.153,,80,,162,3,,,Background
